Gene,IR_039,IR_046,PD_016,IR_031,PD_021,IR_047,IR_002,PD_028,IR_050,IR_016,IR_019,PD_025,IR_027,PD_029,IR_020,HR_056,HR_063,PD_001,HR_048,PD_006,HR_064,HR_019,PD_013,HR_067,HR_033,HR_036,PD_010,HR_044,PD_014,HR_037
DZIP1L,16,0,0,0,0,0,0,0,0,0,5,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DZIP3,33,0,0,10,4228,0,0,0,14,0,0,0,13,0,0,0,0,0,27,0,228,0,891,0,18,0,0,0,0,0
E2F1,10,3,0,44,568,0,0,0,0,227,0,0,4,0,0,0,0,0,100,0,0,0,0,0,0,6,0,0,0,0
E2F2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E2F3,69,78,599,54,117,150,0,777,239,125,368,0,76,0,105,22,36,0,41,0,187,82,490,678,111,49,0,0,0,309
E2F4,308,472,156,338,0,323,424,20,278,192,401,133,350,0,48,240,0,137,440,0,53,368,67,0,104,61,0,0,0,137
E2F5,9,0,0,0,291,10,0,80,0,21,10,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0
E2F6,21,28,171,49,0,24,14,24,21,86,19,182,4,178,18,7,38,68,3,81,37,45,12,0,19,41,238,13,283,0
E2F7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,4,0,0,0,0,0,15,0,0,0,0,0
E2F8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E4F1,148,297,1,68,837,382,46,0,82,231,51,1441,95,0,52,47,0,0,71,1932,0,230,0,0,49,87,0,83,0,0
EAF1,568,1549,846,1190,2096,1972,633,544,541,1350,1065,672,491,2401,908,475,2422,1026,956,909,710,1158,154,546,776,681,1717,681,1553,1016
EAF2,6,2,0,1,16,0,11,5,0,2,5,0,3,0,0,1,0,0,7,0,0,0,0,0,4,0,0,6,0,0
EAPP,39,87,246,57,39,114,185,153,122,76,132,319,34,0,74,44,48,21,18,0,58,79,0,0,82,75,112,26,0,7
EARS2,84,0,292,139,143,0,137,0,9,0,34,0,51,0,0,43,0,451,20,7,101,282,0,0,0,0,0,73,0,0
EBAG9,13,40,0,4,173,9,0,0,31,47,3,0,33,0,0,2,0,33,14,0,28,28,0,0,10,14,0,0,0,0
EBF1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
EBF2,0,0,0,0,0,0,0,5,0,0,0,19,0,0,0,0,0,0,0,41,0,0,0,0,0,4,0,0,0,0
EBF3,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EBF4,16,22,0,7,0,53,113,0,2,0,11,0,0,0,11,6,0,0,0,0,0,16,0,0,0,16,0,0,0,0
EBI3,76,1,0,4,10,33,27,6,9,32,3,0,31,0,36,31,0,218,15,0,0,85,41,0,13,0,0,0,0,0
EBLN1,0,0,155,0,71,0,0,0,0,0,0,0,0,0,0,0,0,47,15,0,0,0,72,0,0,0,534,0,0,0
EBLN2,98,168,275,188,0,138,53,100,113,33,127,0,55,0,103,29,0,115,0,0,74,64,0,0,98,0,0,0,0,83
EBNA1BP2,164,115,817,191,228,510,243,232,133,428,54,0,115,0,182,146,0,0,549,971,75,146,0,149,222,125,0,305,466,464
EBP,102,455,107,183,437,621,259,256,74,1225,73,1087,232,0,557,58,179,139,336,0,125,154,0,140,345,63,0,595,0,338
EBPL,128,112,272,79,452,69,224,236,20,462,60,0,85,0,85,5,0,151,450,1,76,82,1535,0,45,0,1059,0,0,133
ECD,502,980,1316,564,162,828,657,210,340,844,536,1040,342,1978,1025,269,869,1432,264,0,232,190,1379,0,579,231,0,492,0,1363
ECE1,3821,2813,1125,2961,4771,10353,815,6807,4318,3334,7798,315,4858,541,6866,3402,2453,572,951,0,2924,2219,1292,0,3736,657,0,871,0,3149
ECE2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECEL1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECEL1P2,0,0,72,0,0,0,0,1,2,0,0,0,0,0,8,0,0,79,0,0,0,10,0,0,0,0,0,0,0,37
ECHDC1,38,247,182,77,145,415,193,46,14,301,10,358,30,0,317,25,91,58,37,189,105,45,0,0,190,29,0,56,0,306
ECHDC2,151,1386,791,91,216,3344,823,334,176,1536,55,747,123,543,726,98,49,1458,430,3620,589,630,281,31,364,18,1,719,0,101
ECHDC3,31,182,81,20,79,525,135,0,15,227,37,0,55,0,110,17,0,0,56,0,0,81,0,0,64,0,0,0,0,0
ECHS1,367,1285,0,536,299,1956,701,431,306,1357,166,319,244,0,364,381,444,600,994,0,327,683,0,216,788,310,0,701,0,1205
ECI1,20,73,0,5,0,90,48,31,10,116,3,111,19,0,32,19,0,0,29,129,17,5,0,0,12,7,0,30,0,28
ECI2,82,240,515,37,433,259,0,0,85,55,24,523,41,0,50,176,0,189,40,0,0,216,0,0,53,392,0,41,0,363
ECM1,378,246,88,51,846,903,0,47,139,543,29,223,116,0,150,93,353,350,95,0,477,327,15792,0,175,129,114,0,0,0
ECM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECRP,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,11,0,0,0,1,0,0,2
ECSCR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECSIT,76,113,276,1,0,231,0,0,26,52,21,0,19,0,23,37,150,1,212,0,97,59,0,0,29,0,0,0,94,0
ECT2,2,13,0,0,0,0,0,0,3,2,0,0,4,0,0,4,0,0,2,0,4,0,0,0,0,3,0,0,0,0
ECT2L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDA2R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDAR,0,52,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDARADD,122,142,185,24,0,14,0,0,0,195,81,0,48,0,39,83,0,188,69,0,0,155,0,0,58,120,0,162,0,0
EDC3,439,429,201,64,464,436,0,342,151,93,89,0,76,0,25,180,0,0,194,0,0,124,630,0,150,0,0,449,0,836
EDC4,398,222,436,103,0,300,0,94,81,102,100,428,154,0,232,137,127,117,284,0,86,342,318,1622,51,8,0,0,0,151
EDDM3A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDDM3B,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDEM1,212,189,215,179,151,226,233,50,92,431,172,285,172,115,111,199,60,100,178,0,82,133,127,6,202,131,77,188,0,176
EDEM2,232,79,0,110,372,126,269,374,1297,194,362,0,208,0,12,131,0,1773,94,0,174,0,862,0,155,19,0,0,0,137
EDEM3,239,221,651,24,902,421,0,1157,376,405,504,0,181,3299,589,229,197,3,144,0,149,408,2250,1257,208,336,0,295,0,555
EDF1,3335,7040,2983,2258,2409,10682,5898,2611,1377,4499,1271,2498,2081,1256,1872,2619,5923,2857,4236,0,2620,3340,3014,3192,3256,1632,2275,2575,0,4694
EDIL3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDN1,680,184,0,560,120,1482,1294,1176,872,55,246,0,843,0,418,322,334,590,130,0,205,29,0,0,477,477,0,253,0,570
EDN2,11,3,0,0,306,0,0,0,18,0,3,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
EDN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDNRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDNRB,0,0,0,0,0,0,0,20,11,0,0,0,0,0,107,15,0,0,7,0,0,0,0,0,0,0,0,0,0,0
EEA1,1,7,0,0,0,1,1,1,0,0,3,0,2,1,0,1,0,3,4,0,2,0,4,0,1,3,12,0,0,0
EED,92,89,0,86,183,29,0,553,52,116,69,0,53,0,32,178,673,1268,96,0,218,153,0,0,122,311,0,0,0,127
EEF1A1,21150,24372,18780,19565,16543,34901,39263,8451,11658,34556,13242,20942,14472,17978,14695,23028,10444,14048,43408,2126,14427,15426,8798,16658,23601,28732,7132,28143,3142,27048
EEF1A2,16,0,1,55,0,32,0,131,96,0,54,0,38,0,17,2,0,1,114,0,204,104,0,0,1,16,0,0,0,0
EEF1B2,1304,2110,3070,1244,2851,2478,1462,830,736,2061,934,3034,766,5367,1288,1323,577,1196,3189,363,1575,1590,313,153,1659,2021,2379,1868,209,1687
EEF1D,3860,4118,2680,3045,3121,3313,4085,5019,1974,3711,2455,2989,2330,4713,2478,3160,2022,3651,6151,1786,1851,2430,1412,3809,1700,1142,868,3797,0,3786
EEF1E1,89,144,0,10,0,215,331,0,46,204,21,0,57,553,42,84,0,0,236,0,0,374,0,0,91,40,0,189,0,0
EEF1G,8318,12020,16407,8431,26613,11930,10723,9329,5056,10747,4280,29432,4743,34018,5534,6700,5063,16802,21136,5789,7285,8821,9339,6312,6556,7068,9439,10962,6277,11898
EEF2,11621,15981,7523,7521,11849,23472,17655,14162,5841,12580,3566,13718,7042,12456,7577,7714,7358,10267,25441,7803,6610,8394,12740,6052,5229,2213,14493,9850,3800,7117
EEF2K,352,206,325,63,0,141,233,288,162,173,87,0,236,0,31,407,0,1230,13,0,470,226,1155,0,155,0,0,0,648,0
EEFSEC,69,0,71,166,0,0,0,0,79,32,41,0,17,0,0,6,0,202,125,0,175,0,0,0,0,0,0,0,0,133
EEPD1,226,196,0,234,0,222,1,0,151,145,172,0,258,0,164,107,0,0,69,0,172,250,71,0,193,0,0,0,0,204
EFCAB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EFCAB11,10,13,0,16,0,0,0,0,0,10,1,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0
EFCAB2,2,0,0,1,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EFCAB3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EFCAB4A,30,0,0,0,0,0,740,2,113,0,26,0,26,2249,0,0,0,0,0,0,0,0,1621,0,0,56,0,0,0,0
EFCAB4B,39,49,0,46,326,143,0,0,24,18,21,253,21,527,78,0,0,0,14,0,0,0,0,0,0,0,0,53,0,0
EFCAB5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EFCAB6,29,0,269,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EFCAB7,3,2,0,0,0,34,24,30,0,7,0,0,1,0,0,0,0,1,0,0,3,8,0,0,5,7,0,0,0,0
EFCAB9,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EFEMP1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
EFEMP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EFHA1,28,48,150,2,931,80,183,0,108,76,75,1669,12,599,26,16,29,396,5,0,103,52,1048,75,64,65,0,43,0,70
EFHA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EFHB,0,17,0,0,0,0,0,76,0,0,3,0,7,0,0,7,0,0,0,0,0,0,0,0,94,106,0,0,0,0
EFHC1,0,0,0,0,0,6,0,0,0,3,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
EFHC2,4,14,0,0,0,0,0,0,35,0,29,0,6,0,18,4,278,142,0,0,0,0,0,0,23,0,0,0,0,0
EFHD1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,11,0,0,0,0
EFHD2,10343,8154,6563,9454,6624,9621,4077,11559,8149,7378,10866,3612,9955,6451,11526,5863,3703,6241,4728,6700,2044,4425,7285,518,3705,2180,1655,6159,0,8261
EFNA1,63,129,77,35,431,0,64,0,175,0,8,0,7,0,0,13,0,0,44,0,96,107,0,0,74,39,0,0,0,0
EFNA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EFNA3,398,1313,0,82,1623,977,0,117,87,396,77,186,62,0,629,95,0,0,21,0,443,221,0,0,33,0,0,284,0,0
EFNA5,15,0,0,0,0,14,0,17,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
EFNB1,365,169,0,30,1635,98,1,0,118,241,78,0,145,0,111,52,309,0,238,0,0,179,438,0,85,58,0,0,0,0
EFNB2,196,308,13,119,544,34,144,38,16,180,59,174,8,0,13,16,0,59,28,0,111,505,0,610,40,26,703,74,0,169
EFNB3,12,0,0,0,65,0,0,0,2,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0
EFR3A,1317,1754,1218,1158,904,2739,709,4283,721,1601,563,2313,446,5344,997,832,185,1012,1355,54,135,765,1372,998,877,570,0,599,1335,1087
EFR3B,0,35,0,0,0,235,0,0,16,19,11,0,30,0,0,0,59,0,0,0,47,47,0,0,32,0,0,0,0,0
EFS,43,32,0,25,48,148,0,0,18,38,0,33,2,0,27,7,0,0,129,0,0,86,0,22,0,0,0,0,9,0
EFTUD1,57,168,601,169,0,448,109,123,65,352,38,439,78,0,106,43,378,102,104,112,193,383,0,0,187,101,486,0,0,42
EFTUD2,167,246,225,119,171,194,198,43,97,382,150,73,94,0,73,230,314,91,189,0,170,174,275,178,208,252,0,79,147,142
EGF,25,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
EGFL6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGFL7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,23,0,0,0,0,0,0,0,0,0,0,0
EGFL8,0,0,15,148,34,0,2,0,8,457,0,0,14,0,0,19,236,0,0,0,0,0,0,0,0,0,0,0,0,0
EGFLAM,0,0,0,0,0,0,0,0,0,0,3,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGFR,154,122,0,90,0,24,1,306,31,721,0,0,11,0,15,25,0,0,486,1306,629,38,0,0,86,0,666,0,0,92
EGLN1,67,214,493,67,70,91,122,12366,230,95,334,234,81,629,187,23,0,57,68,844,37,44,22,0,441,37,0,16,423,48
EGLN2,1211,1056,937,1134,358,1142,886,2349,992,543,895,2008,1334,1186,1967,471,0,264,535,1299,515,713,0,0,399,497,0,0,0,1427
EGLN3,493,1024,1500,419,858,1199,748,318,178,1217,111,3758,311,348,180,340,64,462,700,0,345,1251,257,303,588,400,342,742,0,860
EGR1,1618,3198,1033,4595,1878,2436,311,2492,4512,1223,2250,436,1142,0,1351,1017,6998,621,1054,1801,235,674,3311,553,1335,340,611,1322,0,759
EGR2,5063,4191,4209,4352,7517,3251,736,4241,1713,2730,3714,1341,2327,4086,3306,1655,706,474,879,0,2125,1942,2082,2210,2333,1043,0,1960,0,2438
EGR3,3486,3533,4025,6128,8813,6432,1331,8964,3229,2983,8293,6385,1599,877,4258,1272,322,236,1198,44,483,1467,883,1564,1312,1260,0,674,0,1329
EGR4,0,24,0,10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EHBP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EHBP1L1,1997,1942,1965,2430,810,3663,1775,3519,2920,2825,2638,328,3679,283,2724,1606,1259,2993,1668,393,254,1318,1010,540,745,384,0,2000,0,2758
EHD1,7815,10336,3125,12246,8334,10985,2751,12174,11376,5858,9745,5573,10885,1607,9536,4837,7173,3372,3939,1128,1323,3929,8723,1456,5388,3727,4983,7470,0,5710
EHD2,0,0,0,0,0,0,0,0,0,8,0,0,20,0,0,24,0,0,20,0,0,0,0,0,6,0,0,0,0,0
EHD3,11,108,0,0,0,62,59,0,0,13,0,78,14,0,13,0,0,0,49,0,58,11,0,0,27,0,0,0,0,0
EHD4,151,615,442,200,162,515,199,38,112,367,282,230,191,419,247,151,137,283,363,326,139,663,523,40,236,75,553,248,0,184
EHF,4692,8226,4959,2272,9179,10373,3147,7918,1579,4682,459,8357,1134,4162,1777,756,1099,2318,2835,7389,2258,4459,5707,2601,3347,1569,9552,1205,1835,6951
EHHADH,11,0,0,0,0,117,0,0,11,0,131,0,21,222,17,0,0,0,0,0,0,0,0,0,0,1027,0,0,0,0
EHMT1,5,31,0,47,0,22,17,7,0,13,6,0,2,0,3,0,0,0,35,0,3,9,0,10,4,6,0,5,0,0
EHMT2,5,89,0,0,0,0,0,91,0,0,6,0,15,0,0,92,0,0,165,0,0,0,0,0,12,0,0,0,0,0
EI24,210,257,529,114,837,683,385,288,89,610,82,1785,82,447,229,47,39,305,240,0,142,231,431,228,429,146,0,184,0,40
EID1,1142,1892,274,466,350,1090,849,797,297,972,353,408,549,1339,564,903,444,2391,1067,619,209,965,626,363,505,692,0,579,0,1001
EID2,69,22,203,16,128,36,0,110,0,0,15,582,43,0,13,49,0,197,87,0,40,25,0,0,13,0,0,0,0,31
EID2B,0,15,0,0,0,0,0,0,0,0,0,0,0,0,19,9,0,0,39,164,7,0,0,0,0,0,0,0,0,0
EID3,916,126,1094,438,2168,612,332,838,679,2730,636,0,590,1738,1689,481,156,1113,149,4,0,229,1865,233,605,0,871,502,0,239
EIF1,8478,12099,9821,10109,16256,16282,7960,15019,8144,12304,11285,16618,6562,13820,9852,6321,8550,9357,7862,3051,6341,8030,8484,5585,9977,8238,6237,6567,492,11195
EIF1AD,833,1534,63,478,917,4281,582,306,145,786,398,807,352,0,932,141,0,0,1228,0,750,1277,0,0,805,1381,321,453,0,1145
EIF1AX,495,494,549,171,627,656,551,368,203,499,176,847,283,2046,273,234,445,451,308,0,520,606,343,857,265,472,1263,791,0,342
EIF1AY,8,20,209,11,0,17,8,161,34,20,38,243,6,0,44,5,2,109,3,0,16,17,0,23,21,27,0,9,0,18
EIF1B,2600,1063,1505,680,792,2529,1685,1662,1016,630,1685,336,1512,0,882,794,134,733,648,0,365,806,0,1544,1525,1357,1146,98,0,488
EIF2A,243,230,249,254,0,452,230,39,97,280,200,0,135,1180,123,210,0,131,798,0,315,124,693,80,149,267,0,35,0,202
EIF2AK1,341,534,844,114,488,917,796,732,1418,638,266,2334,160,0,548,325,0,539,387,0,530,234,0,0,294,771,280,86,0,0
EIF2AK2,1719,688,289,1057,935,500,178,3548,910,465,823,0,551,0,1541,594,523,492,241,0,143,82,848,0,463,1395,0,206,0,1098
EIF2AK3,126,442,1,246,0,71,80,0,102,0,30,200,135,0,1086,208,0,734,88,0,0,252,0,0,172,76,0,78,0,0
EIF2AK4,895,422,187,120,0,571,9352,0,192,371,315,0,382,0,113,203,0,186,301,0,255,0,351,0,482,281,0,380,0,212
EIF2B1,48,40,35,13,54,101,0,0,15,60,14,0,15,201,6,19,0,44,22,0,36,103,0,0,17,41,0,131,0,17
EIF2B2,74,287,157,95,116,528,886,0,34,322,31,204,41,0,175,59,0,0,142,0,242,114,0,0,146,127,0,0,0,0
EIF2B3,23,63,0,34,0,79,90,1,25,30,44,0,33,379,38,16,0,0,40,0,0,0,0,0,36,52,0,0,0,0
EIF2B4,52,105,150,24,65,329,1,42,35,64,13,5,30,281,6,21,0,5,42,0,59,0,0,72,80,76,0,0,0,46
EIF2B5,413,292,368,130,0,742,0,0,86,172,129,454,194,87,225,259,0,269,697,0,0,58,0,1507,319,102,98,0,0,175
EIF2C1,79,317,229,48,0,467,0,85,130,134,67,0,114,686,313,200,0,286,187,0,169,124,0,0,94,0,0,0,0,0
EIF2C2,4498,2416,3788,1716,785,1777,363,3890,1870,1830,3279,1044,3024,0,2989,2878,729,3298,1718,7214,916,945,2826,0,1059,811,1386,1715,0,366
EIF2C3,698,853,646,538,673,449,1875,993,543,1400,902,0,658,0,407,511,1355,342,204,0,139,0,3,0,283,336,0,228,1057,133
EIF2C4,676,1821,258,452,1118,1475,753,1235,974,313,1567,374,312,0,1805,555,21,336,502,0,208,259,0,638,1102,870,0,49,0,252
EIF2D,33,48,0,0,244,150,131,0,6,62,14,228,35,0,143,26,0,0,60,0,0,183,0,0,46,37,0,0,0,0
EIF2S1,273,717,238,241,0,545,185,137,194,403,134,0,144,0,142,229,370,62,412,309,26,262,0,0,285,341,1,223,0,205
EIF2S2,88,56,1713,32,223,34,177,116,89,277,154,261,50,57,70,93,752,70,118,57,26,118,229,85,117,419,701,22,81,113
EIF2S3,366,645,1104,284,1921,455,203,6821,610,413,762,720,263,1513,454,349,246,944,193,2,534,352,1374,472,561,420,0,194,436,454
EIF3A,1201,2207,1784,889,369,3193,1795,423,741,2452,1025,1521,784,769,1326,1101,1570,313,1232,0,931,1586,722,1057,1268,1166,0,1270,386,792
EIF3B,158,270,55,100,85,235,115,10,45,320,46,168,157,85,158,158,48,8,306,6,24,111,0,0,224,100,0,42,0,42
EIF3C,1241,1548,670,1783,1290,1078,1511,753,335,1029,304,2759,592,1916,745,615,745,876,1304,61,539,367,175,637,631,475,1430,1145,332,814
EIF3D,422,546,359,497,337,643,176,546,323,608,384,216,225,365,311,359,300,395,863,0,171,283,116,0,324,298,0,396,0,645
EIF3E,1384,2842,2518,532,3361,1502,2142,497,734,1703,762,2419,552,4943,1010,1298,910,3216,2033,3071,1026,842,5709,0,1257,982,0,311,0,2670
EIF3F,895,3091,8519,1462,6199,4351,1919,4135,937,2625,624,8302,890,5534,1832,1093,1019,4130,2652,2897,957,2452,642,954,1286,760,3108,1243,0,1128
EIF3G,1168,876,1022,818,987,1893,1477,480,609,1099,254,234,575,530,443,745,669,237,1041,0,235,539,921,0,473,352,3271,439,0,418
EIF3H,988,2188,846,996,849,2018,2020,481,668,2965,688,879,574,2413,3316,957,328,427,1230,207,916,1355,1221,321,1505,1600,0,438,1247,2162
EIF3I,28,7,15,40,0,94,1,171,21,104,34,0,12,297,0,31,0,43,76,85,30,28,0,0,106,0,0,0,44,53
EIF3IP1,0,0,0,0,0,25,0,8,0,0,0,0,2,0,1,0,0,13,0,0,0,0,43,0,0,7,49,0,0,0
EIF3J,277,393,495,132,79,192,303,53,121,142,201,341,98,318,283,207,531,144,244,0,77,179,0,0,99,220,0,41,0,306
EIF3K,1811,2327,1365,1170,1958,2158,2155,1416,715,1067,886,1970,901,1025,1225,1277,513,610,2723,2988,1462,937,1111,1580,1268,1467,1,1633,0,2669
EIF3L,1066,2434,1025,1240,475,2146,1718,609,477,1803,860,531,609,2892,1042,794,501,521,2142,0,1161,646,1119,17042,1189,1242,670,1640,0,1812
EIF3M,769,1414,2151,716,1523,1178,1271,764,260,795,376,1329,276,0,666,564,1472,758,592,0,698,877,4,843,861,612,2515,312,3314,820
EIF4A1,6240,11754,9204,7010,10361,10642,9531,7244,2809,9405,3634,10694,4199,10074,5739,5346,6526,9717,6330,3868,5916,4718,10120,1025,4591,6096,1796,5085,4006,5988
EIF4A2,1580,881,160,873,1189,1163,110,1788,1047,1366,1192,0,741,18271,1266,933,451,238,1231,0,324,544,0,0,989,1190,0,0,0,1848
EIF4A3,1418,1611,362,3628,253,3124,1651,547,939,2103,1697,1835,1754,370,1495,1013,1525,1364,614,0,1809,1224,3923,857,1455,2096,0,873,0,2948
EIF4B,3,1,2,3,1,3,4,0,1,3,0,1,0,4,0,0,0,3,2,0,0,2,1,0,3,3,5,0,2,1
EIF4E,193,679,1906,195,1392,1199,642,895,296,407,226,4160,124,917,267,219,693,1237,276,0,269,453,406,386,411,267,799,263,0,106
EIF4E1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EIF4E2,582,399,0,264,474,355,0,143,206,291,349,309,221,0,109,297,0,0,222,0,537,270,0,0,259,434,0,0,0,348
EIF4E3,571,767,2307,335,53,919,328,1900,1695,299,1249,0,476,0,911,251,190,37,356,29,1,172,63,270,1565,999,0,89,0,62
EIF4EBP1,187,49,342,206,563,401,395,72,165,60,78,195,216,0,104,114,0,484,305,0,121,69,515,0,24,0,0,0,0,359
EIF4EBP2,3094,10711,4235,1150,4833,18654,2860,11377,2075,8960,3266,6292,2054,9346,9810,1887,2396,9134,2178,9356,3335,5024,1928,2822,2969,2674,2552,1569,11757,1813
EIF4EBP3,1051,392,138,1395,662,651,566,586,212,474,953,0,688,0,1080,714,0,279,358,0,143,703,2463,0,505,975,0,680,0,295
EIF4ENIF1,373,51,1272,242,298,777,1,4,84,455,140,0,208,2559,313,214,0,501,45,0,0,290,0,0,308,216,0,710,0,1098
EIF4G1,1805,2646,1910,1465,1819,3092,1208,1296,860,2085,399,2577,1271,1737,1686,821,796,3355,1803,2342,872,1824,3177,650,704,741,0,0,0,432
EIF4G2,3724,4003,4361,1947,3774,4429,4188,2403,1514,5340,2590,4217,1186,1193,2473,2657,1784,1699,3181,464,2392,2554,2257,1049,3222,2990,2283,3587,556,4208
EIF4G3,673,1028,0,1054,88,438,0,107,1215,200,1285,0,687,1274,462,1323,49,86,354,0,0,160,773,0,910,695,0,703,638,327
EIF4H,6982,21473,13547,5395,10028,29222,8553,15678,5129,13594,3796,26851,6381,9479,11169,4012,11317,16597,7301,32898,8044,10820,2651,5471,8126,4324,4161,8008,4148,9872
EIF5,168,480,2198,84,1559,318,415,997,345,407,213,1855,154,564,171,125,0,323,87,0,508,342,869,341,295,175,2014,67,973,218
EIF5A,2052,4059,4707,1978,4433,6146,2178,2507,1365,4214,1548,2923,2143,2056,2458,2054,1081,2263,3566,725,2452,1664,3142,218,1781,731,1,1894,252,2897
EIF5A2,11,12,0,2,0,27,0,45,0,7,0,1,3,0,11,10,0,0,22,0,0,162,0,92,20,0,0,0,0,0
EIF5AL1,11,0,436,0,0,0,164,419,0,0,8,0,7,0,0,0,0,0,0,0,0,9,963,0,0,0,1224,0,0,0
EIF5B,291,0,816,213,330,426,343,83,100,613,117,1466,133,1385,186,192,321,548,294,0,151,297,0,0,621,622,0,0,0,44
EIF6,2061,1263,2195,1221,2129,2911,1017,2510,708,2110,526,2111,585,0,1188,1709,1578,2645,2187,3238,1042,831,829,4928,1054,1139,0,496,0,1724
ELAC1,8,0,0,0,0,0,0,0,0,0,17,0,1,0,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,116
ELAC2,76,89,162,0,355,260,1,47,60,262,118,0,70,0,82,173,0,0,346,0,77,250,297,0,38,127,0,115,0,232
ELANE,22,13,71,0,0,0,0,30,17,44,9,0,31,0,40,39,86,0,7,0,0,0,0,0,82,0,0,0,0,0
