Gene,IR_039,IR_046,PD_016,IR_031,PD_021,IR_047,IR_002,PD_028,IR_050,IR_016,IR_019,PD_025,IR_027,PD_029,IR_020,HR_056,HR_063,PD_001,HR_048,PD_006,HR_064,HR_019,PD_013,HR_067,HR_033,HR_036,PD_010,HR_044,PD_014,HR_037
MARK3,9,0,0,0,0,0,37,2,10,23,14,0,8,0,4,1,0,0,0,0,0,0,0,0,18,0,0,0,0,0
MARK4,177,1028,578,959,277,551,600,1765,302,503,258,1479,137,91,1028,459,0,399,264,60,0,5,542,0,240,178,2,86,0,319
MARS,182,245,166,219,125,206,89,82,156,365,219,136,170,0,212,114,64,0,289,0,0,75,103,0,290,104,0,0,0,60
MARS2,34,0,23,0,0,112,0,21,0,0,25,0,2,431,0,7,0,0,33,0,42,0,111,0,1,0,73,0,0,0
MARVELD1,105,25,330,134,214,542,0,83,0,0,23,0,65,0,72,17,0,874,22,0,0,0,0,0,93,16,0,682,0,0
MARVELD2,127,65,0,0,7,0,0,124,0,51,28,0,0,19,52,8,5,0,6,0,0,402,0,0,33,0,0,0,0,0
MARVELD3,33,31,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAS1,16,0,269,40,324,0,0,280,2,22,3,0,23,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0
MAS1L,0,0,518,0,0,0,256,5,0,0,0,0,6,0,0,0,0,0,0,0,102,0,1201,0,0,0,0,154,0,0
MASP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MASP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAST1,0,0,0,0,43,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAST2,126,51,0,148,1593,0,0,1173,20,94,184,2658,117,186,24,28,0,1,81,0,0,0,0,0,25,0,0,0,0,0
MAST3,320,317,114,841,105,560,216,102,709,358,488,94,400,205,540,203,303,21,154,0,157,216,0,0,147,40,0,584,0,206
MAST4,226,334,1512,0,1259,581,255,299,0,148,62,1721,44,2421,124,20,593,1105,216,2022,348,175,0,0,69,0,0,0,0,0
MASTL,226,441,0,72,262,0,0,457,175,105,181,0,156,597,357,97,119,5,141,0,0,0,0,0,216,54,0,0,0,101
MAT1A,0,21,0,80,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,45,0,0,0,0,0
MAT2A,805,376,629,575,403,582,291,133,470,688,394,343,384,325,668,220,154,206,494,77,536,176,402,98,538,515,2,245,0,248
MAT2B,1621,946,82,537,908,1372,446,1575,919,1298,1918,538,715,3495,1500,1024,600,1049,968,0,1808,352,2130,0,1340,1461,325,1192,0,522
MATK,251,164,0,160,0,83,762,2,12,23,17,393,115,1751,60,540,159,536,148,213,69,136,506,0,12,19,0,0,0,0
C1RL-AS1,0,5,0,0,0,0,0,27,10,3,3,42,3,0,0,0,0,8,0,0,6,0,1,0,5,0,0,0,64,0
MATN1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
